years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2012-2014,0,million (£),NA,Expenditure,Scotland
2009-2011,3,NA,Thousand,Nights,England
2013-2015,0,NA,Thousand,Nights,All of GB
2014-2016,4,NA,Thousand,Visits,England
2011-2013,1,million (£),NA,Expenditure,Scotland
2014-2016,0,NA,Thousand,Nights,Scotland
2014-2016,0,NA,Thousand,Visits,Scotland
2017-2019,5,NA,Thousand,Visits,England
2012-2014,0,million (£),NA,Expenditure,England
2013-2015,0,million (£),NA,Expenditure,England
2015-2017,0,million (£),NA,Expenditure,England
2010-2012,15,NA,Thousand,Nights,All of GB
2009-2011,15,NA,Thousand,Nights,All of GB
2012-2014,0,NA,Thousand,Nights,All of GB
2017-2019,0,million (£),NA,Expenditure,Scotland
2017-2019,2,NA,Thousand,Visits,Scotland
2014-2016,0,million (£),NA,Expenditure,England
2015-2017,10,NA,Thousand,Visits,All of GB
2017-2019,9,NA,Thousand,Visits,All of GB
2011-2013,1,NA,Thousand,Visits,England
2013-2015,0,NA,Thousand,Visits,All of GB
2016-2018,11,NA,Thousand,Nights,England
2016-2018,0,million (£),NA,Expenditure,England
2011-2013,7,NA,Thousand,Nights,All of GB
2012-2014,0,NA,Thousand,Nights,Scotland
2016-2018,10,NA,Thousand,Visits,All of GB
2015-2017,17,NA,Thousand,Nights,All of GB
2011-2013,0,million (£),NA,Expenditure,England
2017-2019,14,NA,Thousand,Nights,All of GB
2012-2014,0,NA,Thousand,Visits,All of GB
2010-2012,13,NA,Thousand,Nights,Scotland
2015-2017,7,NA,Thousand,Visits,England
2017-2019,8,NA,Thousand,Nights,England
2013-2015,0,million (£),NA,Expenditure,Scotland
2010-2012,1,million (£),NA,Expenditure,Scotland
2016-2018,1,million (£),NA,Expenditure,All of GB
2015-2017,11,NA,Thousand,Nights,England
2011-2013,4,NA,Thousand,Nights,Scotland
2011-2013,3,NA,Thousand,Nights,England
2013-2015,0,NA,Thousand,Visits,England
2016-2018,7,NA,Thousand,Visits,England
2014-2016,8,NA,Thousand,Nights,All of GB
2009-2011,7,NA,Thousand,Visits,Scotland
2009-2011,1,million (£),NA,Expenditure,Scotland
2016-2018,0,million (£),NA,Expenditure,Scotland
2015-2017,0,million (£),NA,Expenditure,Scotland
2014-2016,0,million (£),NA,Expenditure,Scotland
2012-2014,0,NA,Thousand,Visits,Scotland
2009-2011,8,NA,Thousand,Visits,All of GB
2016-2018,17,NA,Thousand,Nights,All of GB
2011-2013,1,NA,Thousand,Visits,Scotland
2014-2016,0,million (£),NA,Expenditure,All of GB
2010-2012,8,NA,Thousand,Visits,All of GB
2016-2018,2,NA,Thousand,Visits,Scotland
2013-2015,0,million (£),NA,Expenditure,All of GB
2011-2013,1,million (£),NA,Expenditure,All of GB
2010-2012,7,NA,Thousand,Visits,Scotland
2009-2011,13,NA,Thousand,Nights,Scotland
2014-2016,8,NA,Thousand,Nights,England
2017-2019,2,NA,Thousand,Nights,Scotland
2009-2011,1,million (£),NA,Expenditure,All of GB
2013-2015,0,NA,Thousand,Visits,Scotland
2010-2012,1,million (£),NA,Expenditure,All of GB
2014-2016,4,NA,Thousand,Visits,All of GB
2010-2012,3,NA,Thousand,Nights,England
2013-2015,0,NA,Thousand,Nights,Scotland
2010-2012,0,million (£),NA,Expenditure,England
2012-2014,0,NA,Thousand,Visits,England
2009-2011,1,NA,Thousand,Visits,England
2010-2012,1,NA,Thousand,Visits,England
2015-2017,1,million (£),NA,Expenditure,All of GB
2009-2011,0,million (£),NA,Expenditure,England
2011-2013,3,NA,Thousand,Visits,All of GB
2012-2014,0,NA,Thousand,Nights,England
2017-2019,1,million (£),NA,Expenditure,All of GB
2017-2019,0,million (£),NA,Expenditure,England
2012-2014,0,million (£),NA,Expenditure,All of GB
2015-2017,2,NA,Thousand,Nights,Scotland
2016-2018,2,NA,Thousand,Nights,Scotland
2013-2015,0,NA,Thousand,Nights,England
2015-2017,2,NA,Thousand,Visits,Scotland
2015-2017,87,NA,Thousand,Visits,Scotland
2011-2013,16,million (£),NA,Expenditure,England
2015-2017,363,NA,Thousand,Nights,Scotland
2013-2015,273,NA,Thousand,Nights,England
2010-2012,232,NA,Thousand,Nights,England
2011-2013,237,NA,Thousand,Nights,England
2014-2016,351,NA,Thousand,Nights,England
2016-2018,547,NA,Thousand,Nights,England
2015-2017,18,million (£),NA,Expenditure,England
2010-2012,341,NA,Thousand,Nights,Scotland
2012-2014,681,NA,Thousand,Nights,All of GB
2014-2016,59,NA,Thousand,Visits,England
2013-2015,681,NA,Thousand,Nights,All of GB
2009-2011,453,NA,Thousand,Nights,All of GB
2012-2014,17,million (£),NA,Expenditure,England
2011-2013,599,NA,Thousand,Nights,All of GB
2010-2012,588,NA,Thousand,Nights,All of GB
2014-2016,663,NA,Thousand,Nights,All of GB
2012-2014,112,NA,Thousand,Visits,All of GB
2017-2019,1212,NA,Thousand,Nights,All of GB
2015-2017,363,NA,Thousand,Nights,England
2012-2014,35,NA,Thousand,Visits,England
2015-2017,726,NA,Thousand,Nights,All of GB
2014-2016,293,NA,Thousand,Nights,Scotland
2009-2011,249,NA,Thousand,Nights,Scotland
2010-2012,95,NA,Thousand,Visits,All of GB
2013-2015,390,NA,Thousand,Nights,Scotland
2016-2018,18,million (£),NA,Expenditure,England
2016-2018,984,NA,Thousand,Nights,All of GB
2010-2012,35,NA,Thousand,Visits,England
2012-2014,425,NA,Thousand,Nights,Scotland
2017-2019,541,NA,Thousand,Nights,England
2017-2019,646,NA,Thousand,Nights,Scotland
2012-2014,238,NA,Thousand,Nights,England
2012-2014,75,NA,Thousand,Visits,Scotland
2009-2011,35,NA,Thousand,Visits,England
2009-2011,190,NA,Thousand,Nights,England
2016-2018,411,NA,Thousand,Nights,Scotland
2011-2013,347,NA,Thousand,Nights,Scotland
2010-2012,33,million (£),NA,Expenditure,All of GB
2011-2013,60,NA,Thousand,Visits,Scotland
2009-2011,46,NA,Thousand,Visits,Scotland
2009-2011,23,million (£),NA,Expenditure,All of GB
2013-2015,68,NA,Thousand,Visits,Scotland
2016-2018,105,NA,Thousand,Visits,Scotland
2011-2013,36,million (£),NA,Expenditure,All of GB
2010-2012,57,NA,Thousand,Visits,Scotland
2014-2016,37,million (£),NA,Expenditure,All of GB
2016-2018,61,NA,Thousand,Visits,England
2017-2019,201,NA,Thousand,Visits,All of GB
2014-2016,121,NA,Thousand,Visits,All of GB
2012-2014,44,million (£),NA,Expenditure,All of GB
2016-2018,38,million (£),NA,Expenditure,All of GB
2017-2019,62,million (£),NA,Expenditure,All of GB
2011-2013,35,NA,Thousand,Visits,England
2013-2015,41,million (£),NA,Expenditure,All of GB
2015-2017,54,NA,Thousand,Visits,England
2015-2017,33,million (£),NA,Expenditure,All of GB
2016-2018,168,NA,Thousand,Visits,All of GB
2016-2018,18,million (£),NA,Expenditure,Scotland
2014-2016,13,million (£),NA,Expenditure,Scotland
2017-2019,37,million (£),NA,Expenditure,Scotland
2012-2014,25,million (£),NA,Expenditure,Scotland
2017-2019,146,NA,Thousand,Visits,Scotland
2009-2011,13,million (£),NA,Expenditure,Scotland
2010-2012,16,million (£),NA,Expenditure,Scotland
2015-2017,141,NA,Thousand,Visits,All of GB
2014-2016,60,NA,Thousand,Visits,Scotland
2013-2015,45,NA,Thousand,Visits,England
2013-2015,21,million (£),NA,Expenditure,Scotland
2009-2011,9,million (£),NA,Expenditure,England
2015-2017,15,million (£),NA,Expenditure,Scotland
2011-2013,98,NA,Thousand,Visits,All of GB
2010-2012,16,million (£),NA,Expenditure,England
2011-2013,19,million (£),NA,Expenditure,Scotland
2017-2019,23,million (£),NA,Expenditure,England
2009-2011,84,NA,Thousand,Visits,All of GB
2017-2019,54,NA,Thousand,Visits,England
2013-2015,115,NA,Thousand,Visits,All of GB
2013-2015,18,million (£),NA,Expenditure,England
2014-2016,20,million (£),NA,Expenditure,England
2014-2016,217,NA,Thousand,Visits,All of GB
2016-2018,14,million (£),NA,Expenditure,Scotland
2011-2013,130,NA,Thousand,Nights,Scotland
2014-2016,14,million (£),NA,Expenditure,England
2012-2014,17,million (£),NA,Expenditure,All of GB
2015-2017,54,NA,Thousand,Visits,England
2011-2013,320,NA,Thousand,Nights,All of GB
2016-2018,602,NA,Thousand,Nights,All of GB
2016-2018,65,NA,Thousand,Visits,England
2011-2013,18,million (£),NA,Expenditure,All of GB
2013-2015,49,NA,Thousand,Visits,Scotland
2011-2013,190,NA,Thousand,Nights,England
2009-2011,146,NA,Thousand,Visits,All of GB
2010-2012,150,NA,Thousand,Nights,Scotland
2010-2012,289,NA,Thousand,Nights,England
2015-2017,221,NA,Thousand,Nights,England
2010-2012,440,NA,Thousand,Nights,All of GB
2014-2016,151,NA,Thousand,Visits,Scotland
2009-2011,83,NA,Thousand,Visits,England
2010-2012,24,million (£),NA,Expenditure,All of GB
2017-2019,98,NA,Thousand,Visits,All of GB
2017-2019,21,million (£),NA,Expenditure,All of GB
2012-2014,106,NA,Thousand,Nights,Scotland
2016-2018,318,NA,Thousand,Nights,Scotland
2013-2015,104,NA,Thousand,Visits,All of GB
2009-2011,23,million (£),NA,Expenditure,All of GB
2009-2011,112,NA,Thousand,Nights,Scotland
2017-2019,330,NA,Thousand,Nights,All of GB
2011-2013,64,NA,Thousand,Visits,Scotland
2011-2013,62,NA,Thousand,Visits,England
2012-2014,54,NA,Thousand,Visits,Scotland
2010-2012,154,NA,Thousand,Visits,All of GB
2015-2017,215,NA,Thousand,Visits,All of GB
2013-2015,53,NA,Thousand,Visits,England
2016-2018,207,NA,Thousand,Visits,All of GB
2014-2016,29,million (£),NA,Expenditure,All of GB
2013-2015,15,million (£),NA,Expenditure,All of GB
2015-2017,597,NA,Thousand,Nights,All of GB
2015-2017,158,NA,Thousand,Visits,Scotland
2010-2012,76,NA,Thousand,Visits,Scotland
2017-2019,114,NA,Thousand,Nights,Scotland
2016-2018,30,million (£),NA,Expenditure,All of GB
2010-2012,78,NA,Thousand,Visits,England
2012-2014,60,NA,Thousand,Visits,England
2014-2016,353,NA,Thousand,Nights,Scotland
2010-2012,10,million (£),NA,Expenditure,Scotland
2015-2017,29,million (£),NA,Expenditure,All of GB
2014-2016,14,million (£),NA,Expenditure,Scotland
2014-2016,225,NA,Thousand,Nights,England
2016-2018,139,NA,Thousand,Visits,Scotland
2016-2018,274,NA,Thousand,Nights,England
2017-2019,204,NA,Thousand,Nights,England
2013-2015,85,NA,Thousand,Nights,Scotland
2014-2016,60,NA,Thousand,Visits,England
2012-2014,118,NA,Thousand,Visits,All of GB
2015-2017,16,million (£),NA,Expenditure,Scotland
2013-2015,161,NA,Thousand,Nights,England
2014-2016,598,NA,Thousand,Nights,All of GB
2017-2019,42,NA,Thousand,Visits,Scotland
2017-2019,53,NA,Thousand,Visits,England
2012-2014,177,NA,Thousand,Nights,England
2013-2015,10,million (£),NA,Expenditure,England
2009-2011,19,million (£),NA,Expenditure,England
2016-2018,16,million (£),NA,Expenditure,England
2017-2019,11,million (£),NA,Expenditure,England
2012-2014,9,million (£),NA,Expenditure,Scotland
2015-2017,14,million (£),NA,Expenditure,England
2011-2013,9,million (£),NA,Expenditure,Scotland
2009-2011,337,NA,Thousand,Nights,England
2013-2015,256,NA,Thousand,Nights,All of GB
2009-2011,5,million (£),NA,Expenditure,Scotland
2013-2015,4,million (£),NA,Expenditure,Scotland
2012-2014,293,NA,Thousand,Nights,All of GB
2015-2017,366,NA,Thousand,Nights,Scotland
2012-2014,8,million (£),NA,Expenditure,England
2009-2011,63,NA,Thousand,Visits,Scotland
2009-2011,449,NA,Thousand,Nights,All of GB
2011-2013,126,NA,Thousand,Visits,All of GB
2011-2013,9,million (£),NA,Expenditure,England
2010-2012,14,million (£),NA,Expenditure,England
2017-2019,10,million (£),NA,Expenditure,Scotland
2013-2015,491,million (£),NA,Expenditure,All of GB
2009-2011,372,million (£),NA,Expenditure,All of GB
2013-2015,707,NA,Thousand,Visits,England
2017-2019,1175,NA,Thousand,Visits,Scotland
2016-2018,219,million (£),NA,Expenditure,Scotland
2011-2013,3266,NA,Thousand,Nights,England
2012-2014,1095,NA,Thousand,Visits,Scotland
2010-2012,189,million (£),NA,Expenditure,England
2009-2011,206,million (£),NA,Expenditure,England
2011-2013,631,NA,Thousand,Visits,England
2015-2017,3482,NA,Thousand,Nights,Scotland
2011-2013,197,million (£),NA,Expenditure,Scotland
2012-2014,607,NA,Thousand,Visits,England
2012-2014,3060,NA,Thousand,Nights,England
2016-2018,1709,NA,Thousand,Visits,All of GB
2013-2015,3362,NA,Thousand,Nights,Scotland
2014-2016,220,million (£),NA,Expenditure,Scotland
2016-2018,979,NA,Thousand,Visits,Scotland
2016-2018,3593,NA,Thousand,Nights,England
2017-2019,3752,NA,Thousand,Nights,England
2015-2017,229,million (£),NA,Expenditure,Scotland
2013-2015,1721,NA,Thousand,Visits,All of GB
2009-2011,706,NA,Thousand,Visits,England
2012-2014,210,million (£),NA,Expenditure,England
2012-2014,212,million (£),NA,Expenditure,Scotland
2017-2019,4023,NA,Thousand,Nights,Scotland
2016-2018,707,NA,Thousand,Visits,England
2013-2015,215,million (£),NA,Expenditure,Scotland
2011-2013,419,million (£),NA,Expenditure,All of GB
2015-2017,3524,NA,Thousand,Nights,England
2017-2019,7944,NA,Thousand,Nights,All of GB
2009-2011,163,million (£),NA,Expenditure,Scotland
2010-2012,1035,NA,Thousand,Visits,Scotland
2014-2016,502,million (£),NA,Expenditure,All of GB
2009-2011,3706,NA,Thousand,Nights,England
2009-2011,3119,NA,Thousand,Nights,Scotland
2014-2016,3534,NA,Thousand,Nights,England
2011-2013,213,million (£),NA,Expenditure,England
2013-2015,3355,NA,Thousand,Nights,England
2010-2012,3445,NA,Thousand,Nights,Scotland
2013-2015,6860,NA,Thousand,Nights,All of GB
2017-2019,244,million (£),NA,Expenditure,England
2016-2018,3435,NA,Thousand,Nights,Scotland
2011-2013,1738,NA,Thousand,Visits,All of GB
2011-2013,3360,NA,Thousand,Nights,Scotland
2013-2015,989,NA,Thousand,Visits,Scotland
2011-2013,6784,NA,Thousand,Nights,All of GB
2014-2016,6906,NA,Thousand,Nights,All of GB
2010-2012,379,million (£),NA,Expenditure,All of GB
2009-2011,1596,NA,Thousand,Visits,All of GB
2012-2014,3413,NA,Thousand,Nights,Scotland
2014-2016,1663,NA,Thousand,Visits,All of GB
2010-2012,186,million (£),NA,Expenditure,Scotland
2017-2019,743,NA,Thousand,Visits,England
2017-2019,1950,NA,Thousand,Visits,All of GB
2012-2014,6636,NA,Thousand,Nights,All of GB
2016-2018,245,million (£),NA,Expenditure,England
2014-2016,707,NA,Thousand,Visits,England
2014-2016,3313,NA,Thousand,Nights,Scotland
2015-2017,272,million (£),NA,Expenditure,England
2013-2015,264,million (£),NA,Expenditure,England
2009-2011,874,NA,Thousand,Visits,Scotland
2012-2014,1731,NA,Thousand,Visits,All of GB
2017-2019,492,million (£),NA,Expenditure,All of GB
2014-2016,940,NA,Thousand,Visits,Scotland
2015-2017,1729,NA,Thousand,Visits,All of GB
2016-2018,470,million (£),NA,Expenditure,All of GB
2015-2017,978,NA,Thousand,Visits,Scotland
2012-2014,434,million (£),NA,Expenditure,All of GB
2015-2017,507,million (£),NA,Expenditure,All of GB
2014-2016,274,million (£),NA,Expenditure,England
2010-2012,618,NA,Thousand,Visits,England
2011-2013,1075,NA,Thousand,Visits,Scotland
2017-2019,236,million (£),NA,Expenditure,Scotland
2016-2018,7118,NA,Thousand,Nights,All of GB
2010-2012,1670,NA,Thousand,Visits,All of GB
2010-2012,3210,NA,Thousand,Nights,England
2009-2011,6904,NA,Thousand,Nights,All of GB
2015-2017,730,NA,Thousand,Visits,England
2010-2012,6712,NA,Thousand,Nights,All of GB
2015-2017,7084,NA,Thousand,Nights,All of GB
2012-2014,238,NA,Thousand,Nights,All of GB
2010-2012,49,NA,Thousand,Visits,Scotland
2015-2017,9,million (£),NA,Expenditure,All of GB
2013-2015,4,million (£),NA,Expenditure,Scotland
2009-2011,112,NA,Thousand,Nights,Scotland
2016-2018,4,million (£),NA,Expenditure,England
2016-2018,27,NA,Thousand,Visits,Scotland
2011-2013,292,NA,Thousand,Nights,All of GB
2016-2018,5,million (£),NA,Expenditure,Scotland
2017-2019,11,million (£),NA,Expenditure,All of GB
2010-2012,6,million (£),NA,Expenditure,Scotland
2013-2015,203,NA,Thousand,Nights,All of GB
2011-2013,126,NA,Thousand,Nights,Scotland
2014-2016,10,million (£),NA,Expenditure,All of GB
2014-2016,193,NA,Thousand,Nights,All of GB
2014-2016,33,NA,Thousand,Visits,England
2014-2016,39,NA,Thousand,Visits,Scotland
2013-2015,110,NA,Thousand,Nights,England
2017-2019,171,NA,Thousand,Nights,All of GB
2011-2013,13,million (£),NA,Expenditure,All of GB
2009-2011,35,NA,Thousand,Visits,England
2016-2018,9,million (£),NA,Expenditure,All of GB
2014-2016,76,NA,Thousand,Visits,All of GB
2009-2011,259,NA,Thousand,Nights,All of GB
2016-2018,151,NA,Thousand,Nights,All of GB
2009-2011,42,NA,Thousand,Visits,Scotland
2015-2017,33,NA,Thousand,Nights,England
2010-2012,310,NA,Thousand,Nights,All of GB
2012-2014,11,million (£),NA,Expenditure,All of GB
2017-2019,5,million (£),NA,Expenditure,Scotland
2011-2013,87,NA,Thousand,Visits,All of GB
2016-2018,49,NA,Thousand,Visits,All of GB
2013-2015,66,NA,Thousand,Visits,All of GB
2009-2011,77,NA,Thousand,Visits,All of GB
2016-2018,55,NA,Thousand,Nights,England
2016-2018,18,NA,Thousand,Visits,England
2017-2019,32,NA,Thousand,Visits,England
2015-2017,20,NA,Thousand,Visits,England
2014-2016,6,million (£),NA,Expenditure,Scotland
2015-2017,4,million (£),NA,Expenditure,England
2011-2013,166,NA,Thousand,Nights,England
2012-2014,6,million (£),NA,Expenditure,England
2015-2017,5,million (£),NA,Expenditure,Scotland
2017-2019,5,million (£),NA,Expenditure,England
2015-2017,34,NA,Thousand,Visits,Scotland
2010-2012,8,million (£),NA,Expenditure,England
2014-2016,112,NA,Thousand,Nights,Scotland
2009-2011,11,million (£),NA,Expenditure,All of GB
2013-2015,10,million (£),NA,Expenditure,All of GB
2011-2013,8,million (£),NA,Expenditure,England
2010-2012,97,NA,Thousand,Visits,All of GB
2015-2017,95,NA,Thousand,Nights,Scotland
2011-2013,42,NA,Thousand,Visits,England
2017-2019,91,NA,Thousand,Nights,Scotland
2014-2016,5,million (£),NA,Expenditure,England
2010-2012,177,NA,Thousand,Nights,England
2011-2013,45,NA,Thousand,Visits,Scotland
2012-2014,130,NA,Thousand,Nights,England
2013-2015,33,NA,Thousand,Visits,Scotland
2017-2019,26,NA,Thousand,Visits,Scotland
2013-2015,93,NA,Thousand,Nights,Scotland
2017-2019,80,NA,Thousand,Nights,England
2012-2014,74,NA,Thousand,Visits,All of GB
2012-2014,38,NA,Thousand,Visits,Scotland
2013-2015,33,NA,Thousand,Visits,England
2015-2017,142,NA,Thousand,Nights,All of GB
2009-2011,7,million (£),NA,Expenditure,England
2014-2016,67,NA,Thousand,Nights,England
2012-2014,108,NA,Thousand,Nights,Scotland
2012-2014,6,million (£),NA,Expenditure,Scotland
2010-2012,13,million (£),NA,Expenditure,All of GB
2009-2011,5,million (£),NA,Expenditure,Scotland
2012-2014,36,NA,Thousand,Visits,England
2013-2015,6,million (£),NA,Expenditure,England
2011-2013,6,million (£),NA,Expenditure,Scotland
2017-2019,58,NA,Thousand,Visits,All of GB
2009-2011,147,NA,Thousand,Nights,England
2016-2018,82,NA,Thousand,Nights,Scotland
2015-2017,58,NA,Thousand,Visits,All of GB
2010-2012,133,NA,Thousand,Nights,Scotland
2010-2012,49,NA,Thousand,Visits,England
2015-2017,1,million (£),NA,Expenditure,Scotland
2014-2016,54,NA,Thousand,Nights,All of GB
2015-2017,105,NA,Thousand,Nights,All of GB
2012-2014,334,NA,Thousand,Nights,All of GB
2017-2019,2,million (£),NA,Expenditure,Scotland
2009-2011,49,NA,Thousand,Nights,England
2012-2014,37,NA,Thousand,Visits,All of GB
2013-2015,13,NA,Thousand,Visits,England
2017-2019,3,million (£),NA,Expenditure,England
2017-2019,52,NA,Thousand,Nights,Scotland
2017-2019,20,NA,Thousand,Visits,Scotland
2015-2017,39,NA,Thousand,Visits,All of GB
2013-2015,33,NA,Thousand,Visits,All of GB
2017-2019,26,NA,Thousand,Visits,England
2012-2014,305,NA,Thousand,Nights,England
2012-2014,10,NA,Thousand,Visits,Scotland
2010-2012,7,million (£),NA,Expenditure,England
2013-2015,2,million (£),NA,Expenditure,England
2011-2013,8,million (£),NA,Expenditure,England
2013-2015,47,NA,Thousand,Nights,England
2009-2011,38,NA,Thousand,Visits,All of GB
2014-2016,10,NA,Thousand,Visits,England
2017-2019,46,NA,Thousand,Visits,All of GB
2016-2018,21,NA,Thousand,Nights,Scotland
2016-2018,3,million (£),NA,Expenditure,All of GB
2009-2011,5,million (£),NA,Expenditure,England
2016-2018,2,million (£),NA,Expenditure,England
2010-2012,330,NA,Thousand,Nights,All of GB
2011-2013,63,NA,Thousand,Visits,All of GB
2011-2013,1,million (£),NA,Expenditure,Scotland
2013-2015,108,NA,Thousand,Nights,All of GB
2016-2018,32,NA,Thousand,Visits,All of GB
2010-2012,55,NA,Thousand,Visits,All of GB
2010-2012,12,NA,Thousand,Visits,Scotland
2011-2013,10,million (£),NA,Expenditure,All of GB
2012-2014,29,NA,Thousand,Nights,Scotland
2010-2012,7,million (£),NA,Expenditure,All of GB
2016-2018,14,NA,Thousand,Visits,Scotland
2011-2013,32,NA,Thousand,Nights,Scotland
2017-2019,110,NA,Thousand,Nights,England
2017-2019,5,million (£),NA,Expenditure,All of GB
2012-2014,4,million (£),NA,Expenditure,All of GB
2016-2018,18,NA,Thousand,Visits,England
2014-2016,13,NA,Thousand,Nights,England
2011-2013,384,NA,Thousand,Nights,All of GB
2015-2017,5,million (£),NA,Expenditure,All of GB
2012-2014,1,million (£),NA,Expenditure,Scotland
2010-2012,1,million (£),NA,Expenditure,Scotland
2011-2013,13,NA,Thousand,Visits,Scotland
2010-2012,15,NA,Thousand,Nights,Scotland
2009-2011,13,NA,Thousand,Nights,Scotland
2017-2019,162,NA,Thousand,Nights,All of GB
2010-2012,315,NA,Thousand,Nights,England
2013-2015,6,million (£),NA,Expenditure,All of GB
2011-2013,49,NA,Thousand,Visits,England
2015-2017,18,NA,Thousand,Visits,England
2015-2017,14,NA,Thousand,Visits,Scotland
2010-2012,42,NA,Thousand,Visits,England
2009-2011,25,NA,Thousand,Visits,England
2015-2017,42,NA,Thousand,Nights,Scotland
2009-2011,0,million (£),NA,Expenditure,Scotland
2013-2015,14,NA,Thousand,Visits,Scotland
2009-2011,5,million (£),NA,Expenditure,All of GB
2014-2016,1,million (£),NA,Expenditure,Scotland
2011-2013,352,NA,Thousand,Nights,England
2015-2017,56,NA,Thousand,Nights,England
2014-2016,34,NA,Thousand,Nights,Scotland
2012-2014,3,million (£),NA,Expenditure,England
2012-2014,26,NA,Thousand,Visits,England
2013-2015,1,million (£),NA,Expenditure,Scotland
2014-2016,1,million (£),NA,Expenditure,England
2014-2016,3,million (£),NA,Expenditure,All of GB
2016-2018,84,NA,Thousand,Nights,All of GB
2014-2016,9,NA,Thousand,Visits,Scotland
2009-2011,13,NA,Thousand,Visits,Scotland
2014-2016,25,NA,Thousand,Visits,All of GB
2016-2018,0,million (£),NA,Expenditure,Scotland
2016-2018,62,NA,Thousand,Nights,England
2013-2015,55,NA,Thousand,Nights,Scotland
2015-2017,2,million (£),NA,Expenditure,England
2009-2011,62,NA,Thousand,Nights,All of GB
2014-2016,24,million (£),NA,Expenditure,England
2015-2017,573,NA,Thousand,Nights,All of GB
2011-2013,24,million (£),NA,Expenditure,Scotland
2017-2019,13,million (£),NA,Expenditure,Scotland
2017-2019,84,NA,Thousand,Visits,Scotland
2015-2017,284,NA,Thousand,Nights,Scotland
2012-2014,1240,NA,Thousand,Nights,All of GB
2014-2016,22,million (£),NA,Expenditure,Scotland
2016-2018,562,NA,Thousand,Nights,All of GB
2009-2011,287,NA,Thousand,Nights,Scotland
2010-2012,18,million (£),NA,Expenditure,Scotland
2012-2014,29,million (£),NA,Expenditure,Scotland
2009-2011,194,NA,Thousand,Visits,All of GB
2016-2018,328,NA,Thousand,Nights,England
2013-2015,735,NA,Thousand,Nights,Scotland
2015-2017,150,NA,Thousand,Visits,All of GB
2013-2015,187,NA,Thousand,Visits,Scotland
2017-2019,323,NA,Thousand,Nights,Scotland
2011-2013,1102,NA,Thousand,Nights,All of GB
2016-2018,10,million (£),NA,Expenditure,Scotland
2009-2011,412,NA,Thousand,Nights,England
2014-2016,527,NA,Thousand,Nights,Scotland
2017-2019,639,NA,Thousand,Nights,All of GB
2009-2011,699,NA,Thousand,Nights,All of GB
2013-2015,1304,NA,Thousand,Nights,All of GB
2009-2011,15,million (£),NA,Expenditure,Scotland
2014-2016,134,NA,Thousand,Visits,Scotland
2010-2012,749,NA,Thousand,Nights,All of GB
2016-2018,115,NA,Thousand,Visits,All of GB
2013-2015,30,million (£),NA,Expenditure,Scotland
2013-2015,269,NA,Thousand,Visits,All of GB
2014-2016,197,NA,Thousand,Visits,All of GB
2010-2012,31,million (£),NA,Expenditure,All of GB
2015-2017,15,million (£),NA,Expenditure,Scotland
2017-2019,133,NA,Thousand,Visits,All of GB
2017-2019,49,NA,Thousand,Visits,England
2014-2016,47,million (£),NA,Expenditure,All of GB
2009-2011,32,million (£),NA,Expenditure,All of GB
2011-2013,185,NA,Thousand,Visits,Scotland
2015-2017,36,million (£),NA,Expenditure,All of GB
2013-2015,76,NA,Thousand,Visits,England
2009-2011,113,NA,Thousand,Visits,Scotland
2016-2018,62,NA,Thousand,Visits,Scotland
2011-2013,67,NA,Thousand,Visits,England
2012-2014,208,NA,Thousand,Visits,Scotland
2016-2018,54,NA,Thousand,Visits,England
2010-2012,66,NA,Thousand,Visits,England
2015-2017,53,NA,Thousand,Visits,England
2015-2017,273,NA,Thousand,Nights,England
2010-2012,342,NA,Thousand,Nights,Scotland
2012-2014,51,million (£),NA,Expenditure,All of GB
2011-2013,256,NA,Thousand,Visits,All of GB
2016-2018,234,NA,Thousand,Nights,Scotland
2010-2012,221,NA,Thousand,Visits,All of GB
2014-2016,820,NA,Thousand,Nights,All of GB
2010-2012,401,NA,Thousand,Nights,England
2011-2013,498,NA,Thousand,Nights,Scotland
2012-2014,341,NA,Thousand,Nights,England
2011-2013,16,million (£),NA,Expenditure,England
2012-2014,16,million (£),NA,Expenditure,England
2010-2012,12,million (£),NA,Expenditure,England
2013-2015,60,million (£),NA,Expenditure,All of GB
2015-2017,95,NA,Thousand,Visits,Scotland
2017-2019,315,NA,Thousand,Nights,England
2009-2011,81,NA,Thousand,Visits,England
2012-2014,274,NA,Thousand,Visits,All of GB
2013-2015,23,million (£),NA,Expenditure,England
2016-2018,19,million (£),NA,Expenditure,England
2017-2019,12,million (£),NA,Expenditure,England
2015-2017,20,million (£),NA,Expenditure,England
2013-2015,421,NA,Thousand,Nights,England
2012-2014,61,NA,Thousand,Visits,England
2012-2014,762,NA,Thousand,Nights,Scotland
2014-2016,277,NA,Thousand,Nights,England
2009-2011,17,million (£),NA,Expenditure,England
2016-2018,29,million (£),NA,Expenditure,All of GB
2010-2012,154,NA,Thousand,Visits,Scotland
2014-2016,60,NA,Thousand,Visits,England
2017-2019,25,million (£),NA,Expenditure,All of GB
2011-2013,466,NA,Thousand,Nights,England
2011-2013,47,million (£),NA,Expenditure,All of GB
2013-2015,59,million (£),NA,Expenditure,All of GB
2011-2013,177,NA,Thousand,Visits,Scotland
2010-2012,904,NA,Thousand,Nights,England
2009-2011,90,NA,Thousand,Visits,England
